!__postfix	scalar
!~~	scalar
!~~*	scalar
%	scalar
&	scalar
&&	scalar
*	scalar
**	scalar
+	scalar
-	scalar
->>	scalar
/	scalar
//	scalar
<->	scalar
<<	scalar
<=>	scalar
<@	scalar
>>	scalar
@	scalar
@>	scalar
^	scalar
^@	scalar
__internal_compress_integral_ubigint	scalar
__internal_compress_integral_uinteger	scalar
__internal_compress_integral_usmallint	scalar
__internal_compress_integral_utinyint	scalar
__internal_compress_string_hugeint	scalar
__internal_compress_string_ubigint	scalar
__internal_compress_string_uinteger	scalar
__internal_compress_string_usmallint	scalar
__internal_compress_string_utinyint	scalar
__internal_decompress_integral_bigint	scalar
__internal_decompress_integral_hugeint	scalar
__internal_decompress_integral_integer	scalar
__internal_decompress_integral_smallint	scalar
__internal_decompress_integral_ubigint	scalar
__internal_decompress_integral_uhugeint	scalar
__internal_decompress_integral_uinteger	scalar
__internal_decompress_integral_usmallint	scalar
__internal_decompress_string	scalar
abs	scalar
acos	scalar
acosh	scalar
add	scalar
add_parquet_key	pragma
age	scalar
aggregate	scalar
alias	scalar
all_profiling_output	pragma
any_value	aggregate
apply	scalar
approx_count_distinct	aggregate
approx_quantile	aggregate
approx_top_k	aggregate
arbitrary	aggregate
arg_max	aggregate
arg_max_null	aggregate
arg_min	aggregate
arg_min_null	aggregate
argmax	aggregate
argmin	aggregate
array_agg	aggregate
array_aggr	scalar
array_aggregate	scalar
array_append	macro
array_apply	scalar
array_cat	scalar
array_concat	scalar
array_contains	scalar
array_cosine_distance	scalar
array_cosine_similarity	scalar
array_cross_product	scalar
array_distance	scalar
array_distinct	scalar
array_dot_product	scalar
array_extract	scalar
array_filter	scalar
array_grade_up	scalar
array_has	scalar
array_has_all	scalar
array_has_any	scalar
array_indexof	scalar
array_inner_product	scalar
array_intersect	macro
array_length	scalar
array_negative_dot_product	scalar
array_negative_inner_product	scalar
array_pop_back	macro
array_pop_front	macro
array_position	scalar
array_prepend	macro
array_push_back	macro
array_push_front	macro
array_reduce	scalar
array_resize	scalar
array_reverse	macro
array_reverse_sort	scalar
array_select	scalar
array_slice	scalar
array_sort	scalar
array_to_json	scalar
array_to_string	macro
array_to_string_comma_default	macro
array_transform	scalar
array_unique	scalar
array_value	scalar
array_where	scalar
array_zip	scalar
arrow_scan	table
arrow_scan_dumb	table
ascii	scalar
asin	scalar
asinh	scalar
atan	scalar
atan2	scalar
atanh	scalar
avg	aggregate
bar	scalar
base64	scalar
bin	scalar
bit_and	aggregate
bit_count	scalar
bit_length	scalar
bit_or	aggregate
bit_position	scalar
bit_xor	aggregate
bitstring	scalar
bitstring_agg	aggregate
bool_and	aggregate
bool_or	aggregate
can_cast_implicitly	scalar
cardinality	scalar
cbrt	scalar
ceil	scalar
ceiling	scalar
century	scalar
checkpoint	table
chr	scalar
col_description	macro
collations	pragma
combine	scalar
concat	scalar
concat_ws	scalar
constant_or_null	scalar
contains	scalar
copy_database	pragma
corr	aggregate
cos	scalar
cosh	scalar
cot	scalar
count	aggregate
count_if	aggregate
count_star	aggregate
countif	aggregate
covar_pop	aggregate
covar_samp	aggregate
create_sort_key	scalar
current_catalog	macro
current_database	macro
current_date	scalar
current_localtime	scalar
current_localtimestamp	scalar
current_query	macro
current_role	macro
current_schema	macro
current_schemas	macro
current_setting	scalar
current_user	macro
currval	scalar
damerau_levenshtein	scalar
database_list	pragma
database_size	pragma
date_add	macro
date_diff	scalar
date_part	scalar
date_sub	scalar
date_trunc	scalar
datediff	scalar
datepart	scalar
datesub	scalar
datetrunc	scalar
day	scalar
dayname	scalar
dayofmonth	scalar
dayofweek	scalar
dayofyear	scalar
decade	scalar
decode	scalar
degrees	scalar
disable_checkpoint_on_shutdown	pragma
disable_object_cache	pragma
disable_optimizer	pragma
disable_print_progress_bar	pragma
disable_profile	pragma
disable_profiling	pragma
disable_progress_bar	pragma
disable_verification	pragma
disable_verify_external	pragma
disable_verify_fetch_row	pragma
disable_verify_parallelism	pragma
disable_verify_serializer	pragma
divide	scalar
